year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code
2006,tt0493430,Jackass Number Two,notalk,notalk,FAIL,11000000,72778712,85278712,2006FAIL,12713760,84117369,98564824,2,2
2010,tt1228987,Let Me In,notalk-disagree,notalk,FAIL,20000000,12134935,28270399,2010FAIL,21364637,12962924,30199340,1,1
1998,tt0120780,Out of Sight,men,men,FAIL,48000000,37562568,77562568,1998FAIL,68598351,53681880,110847172,4,3
2013,tt1980209,Pain & Gain,notalk,notalk,FAIL,26000000,49875291,81275291,2013FAIL,26000000,49875291,81275291,1,1
2007,tt0473308,Waitress,ok,ok,PASS,1500000,19097550,22217183,2007PASS,1685315,21456928,24961971,2,2
2002,tt0293662,The Transporter,nowomen,nowomen,FAIL,21000000,25296447,43928932,2002FAIL,27198764,32763432,56895840,3,2
2003,tt0322330,Freaky Friday,ok,ok,PASS,26000000,110222438,160822438,2003PASS,32918261,139551191,203615191,3,2
2007,tt0418279,Transformers,notalk-disagree,notalk,FAIL,151000000,319246193,708272592,2007FAIL,169655066,358686980,795775055,2,2
2002,tt0266452,Death to Smoochy,men,men,FAIL,50000000,8355815,8374062,2002FAIL,64758961,10822278,10845911,3,2
2003,tt0332379,The School of Rock,dubious,dubious,FAIL,20000000,81261177,131161177,2003FAIL,25321739,102883716,166061455,3,2
1998,tt0127536,Elizabeth,ok,ok,PASS,25000000,30082699,82150642,1998PASS,35728308,42992157,117404137,4,3
2010,tt0455407,The Crazies,ok,ok,PASS,19000000,39123589,54956140,2010PASS,20296405,41793064,58705899,1,1
2004,tt0360201,Wimbledon,ok,ok,PASS,35000000,16862585,41666476,2004PASS,43161751,20794820,51382801,3,2
1998,tt0128442,Rounders,notalk,notalk,FAIL,12000000,22921898,22921898,1998FAIL,17149588,32758425,32758425,4,3
2002,tt0253754,Star Trek: Nemesis,notalk,notalk,FAIL,60000000,43254409,67312826,2002FAIL,77710753,56022212,87182173,3,2
2007,tt0815244,Sydney White,ok,ok,PASS,16500000,11892415,13636339,2007PASS,18538467,13361645,15321020,2,2
1995,tt0112401,Assassins,notalk,notalk,FAIL,50000000,30306268,83306268,1995FAIL,76438973,46331600,127356911,4,3
2006,tt0409182,Poseidon,men,men,FAIL,160000000,60674817,181674817,2006FAIL,184927415,70127732,209979090,2,2
2010,tt1431181,Another Year,ok,ok,PASS,8000000,3205706,18505706,2010PASS,8545855,3424437,19768384,1,1
2010,tt0879870,"Eat, Pray, Love",ok-disagree,ok,PASS,60000000,80574010,205846861,2010PASS,64093910,86071723,219892171,1,1
2009,tt1156398,Zombieland,ok-disagree,ok,PASS,23600000,75590286,102236596,2009PASS,25623266,82070762,111001503,2,2
2002,tt0133240,Treasure Planet,notalk,notalk,FAIL,100000000,38120554,91800000,2002FAIL,129517922,49372949,118897452,3,2
2012,tt2106476,Jagten,men,men,FAIL,3450000,687185,687185,2012FAIL,3500503,697244,697244,1,1
2009,tt1135503,Julie & Julia,ok,ok,PASS,40000000,94125426,126646119,2009PASS,43429264,102194949,137503693,2,2
2009,tt0472033,9,nowomen,nowomen,FAIL,30000000,31749894,48559999,2009FAIL,32571948,34471863,52723125,2,2
2004,tt0332452,Troy,notalk,notalk,FAIL,150000000,133298577,484161265,2004FAIL,184978932,164382856,597064223,3,2
2010,tt1245526,Red,men-disagree,men,FAIL,60000000,90380162,196439693,2010FAIL,64093910,96546967,209843135,1,1
2011,tt1411704,Hop,men,men,FAIL,63000000,108085305,184924333,2011FAIL,65248520,111942955,191524428,1,1
2003,tt0335266,Lost In Translation,dubious-disagree,dubious,FAIL,4000000,44585453,112550685,2003FAIL,5064348,56449060,142498954,3,2
2002,tt0238380,Equilibrium,notalk,notalk,FAIL,20000000,1190018,5345869,2002FAIL,25903584,1541287,6923858,3,2
2004,tt0343818,"I, Robot",notalk-disagree,notalk,FAIL,105000000,144801023,348601023,2004FAIL,129485252,178567590,429892298,3,2
2011,tt1133985,Green Lantern,notalk-disagree,notalk,FAIL,200000000,116601172,231201172,2011FAIL,207138157,120762760,239452924,1,1
2009,tt0988045,Sherlock Holmes,notalk,notalk,FAIL,90000000,209028679,498438212,2009FAIL,97715844,226949041,541170116,2,2
2010,tt0892318,Letters to Juliet,dubious-disagree,dubious,FAIL,30000000,53032453,79135982,2010FAIL,32046955,56650955,84535576,1,1
2006,tt0422720,Marie Antoinette,ok,ok,PASS,40000000,15962471,60862471,2006PASS,46231854,18449366,70344622,2,2
2001,tt0268995,The Majestic,notalk,notalk,FAIL,72000000,27796042,37306334,2001FAIL,94740909,36575310,49089389,3,2
2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,53107035,158607035,2013FAIL,20000000,53107035,158607035,1,1
1994,tt0110322,Legends of the Fall,ok,ok,PASS,30000000,66502573,160502573,1994PASS,47149941,104519746,252256228,5,3
2006,tt0470705,Bug,ok,ok,PASS,4000000,7006708,7006708,2006PASS,4623185,8098328,8098328,2,2
2013,tt1213663,The World's End,men-disagree,men,FAIL,20000000,26004851,46578821,2013FAIL,20000000,26004851,46578821,1,1
2010,tt1470827,Monsters,nowomen-disagree,nowomen,FAIL,500000,237301,5639730,2010FAIL,534116,253492,6024539,1,1
2004,tt0387564,Saw,men-disagree,men,FAIL,1200000,55185045,103096345,2004FAIL,1479831,68053804,127137678,3,2
2002,tt0299658,Chicago,ok,ok,PASS,30000000,170687518,307687518,2002PASS,38855376,221070926,398510478,3,2
2011,tt0990407,The Green Hornet,notalk,notalk,FAIL,110000000,98780042,227983150,2011FAIL,113925987,102305579,236120048,1,1
2001,tt0213149,Pearl Harbor,men-disagree,men,FAIL,151500000,198539855,449239855,2001FAIL,199350663,261247866,591130447,3,2
2000,tt0190865,Vertical Limit,notalk,notalk,FAIL,75000000,68473360,213500000,2000FAIL,101468129,92638183,288845939,3,2
2011,tt1306980,50/50,men-disagree,men,FAIL,8000000,35016118,41334735,2011FAIL,8285526,36265871,42810004,1,1
2009,tt1266029,Nowhere Boy,dubious,dubious,FAIL,1900000,1445366,7785229,2009FAIL,2062890,1569280,8452669,2,2
2005,tt0240200,Water,ok,ok,PASS,3000000,5529144,8119205,2005PASS,3579099,6596452,9686481,2,2
2001,tt0218817,Antitrust,men,men,FAIL,30000000,10965209,17865209,2001FAIL,39475379,14428526,23507863,3,2
2000,tt0210945,Remember the Titans,notalk-disagree,notalk,FAIL,30000000,115654751,136706683,2000FAIL,40587251,156470282,184951617,3,2
2001,tt0251075,Evolution,ok,ok,PASS,80000000,38311134,98341932,2001PASS,105267677,50411551,129402834,3,2
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,ok,PASS,90000000,68559554,200859554,2013PASS,90000000,68559554,200859554,1,1
2013,tt1650554,Kick-Ass 2,ok,ok,PASS,28000000,28795985,60839197,2013PASS,28000000,28795985,60839197,1,1
2004,tt0382189,My Summer of Love,ok,ok,PASS,1700000,1000915,4951476,2004PASS,2096428,1234321,6106125,3,2
2006,tt0408985,Last Holiday,ok,ok,PASS,45000000,38399961,43343247,2006PASS,52010836,44382535,50095967,2,2
2002,tt0297181,I Spy,notalk,notalk,FAIL,70000000,33561137,60279822,2002FAIL,90662545,43467687,78073173,3,2
2005,tt0294870,Rent,ok,ok,PASS,40000000,29077547,31670620,2005PASS,47721325,34690477,37784099,2,2
2011,tt0983193,The Adventures of Tintin,notalk,notalk,FAIL,130000000,77591831,373993951,2011FAIL,134639802,80361144,387342089,1,1
1992,tt0105793,Wayne's World,notalk,notalk,FAIL,20000000,121697323,183097323,1992FAIL,33206945,202059814,304005134,5,3
2006,tt0465551,Notes on a Scandal,ok,ok,PASS,27500000,17510118,49752391,2006PASS,31784400,20238130,57503632,2,2
2000,tt0195685,Erin Brockovich,ok,ok,PASS,50000000,125548685,257805243,2000PASS,67645419,169855868,348786874,3,2
2005,tt0382992,Stealth,notalk,notalk,FAIL,138000000,32116746,76416746,2005FAIL,164638572,38316342,91167710,2,2
2011,tt1634122,Johnny English Reborn,dubious,dubious,FAIL,45000000,8305970,164539660,2011FAIL,46606085,8602417,170412210,1,1
2007,tt0461770,Enchanted,ok,ok,PASS,85000000,127706877,340384141,2007PASS,95501196,143484229,382436383,2,2
2012,tt0837562,Hotel Transylvania,ok,ok,PASS,85000000,148313048,359222014,2012PASS,86244278,150484138,364480509,1,1
2013,tt1211956,Escape Plan,men,men,FAIL,70000000,25213103,103813103,2013FAIL,70000000,25213103,103813103,1,1
1997,tt0119345,I Know What You Did Last Summer,ok,ok,PASS,17000000,72250091,125250091,1997PASS,24671048,104852087,181767707,4,3
2000,tt0203119,Sexy Beast,men,men,FAIL,4300000,6946056,10154577,2000FAIL,5817506,9397377,13738212,3,2
2011,tt1385826,The Adjustment Bureau,dubious-disagree,dubious,FAIL,50200000,62495645,127793502,2011FAIL,51991677,64726164,132354553,1,1
2004,tt0405159,Million Dollar Baby,ok,ok,PASS,30000000,100492203,232016402,2004PASS,36995786,123926269,286120974,3,2
2006,tt0438097,Ice Age: The Meltdown,notalk,notalk,FAIL,75000000,195330621,651899282,2006FAIL,86684726,225762418,753462808,2,2
1996,tt0116931,Love and Other Catastrophes,ok,ok,PASS,250000,212285,743216,1996PASS,371291,315278,1103798,4,3
2011,tt1259521,The Cabin in the Woods,dubious-disagree,dubious,FAIL,30000000,42073277,70768144,2011FAIL,31070724,43574905,73293915,1,1
1997,tt0120338,Titanic,ok,ok,PASS,200000000,658672302,2185672302,1997PASS,290247625,955890356,3171930973,4,3
2006,tt0424095,Flushed Away,nowomen,nowomen,FAIL,149000000,64665672,177665672,2006FAIL,172213656,74740347,205345335,2,2
2010,tt1001526,Megamind,nowomen-disagree,nowomen,FAIL,130000000,148415853,321887208,2010FAIL,138870139,158542540,343850165,1,1
1996,tt0116493,Harriet the Spy,ok,ok,PASS,13000000,26570048,26570048,1996PASS,19307144,39460903,39460903,4,3
2008,tt0838283,Step Brothers,notalk-disagree,notalk,FAIL,65000000,100468793,128468793,2008FAIL,70346660,108732985,139036162,2,2
2006,tt0454945,She's the Man,men-disagree,men,FAIL,25000000,33889159,55279608,2006FAIL,28894909,39168966,63891969,2,2
2003,tt0329717,Hollywood Homicide,notalk,notalk,FAIL,75000000,30207785,51107785,2003FAIL,94956522,38245683,64706900,3,2
2006,tt0441909,Volver,ok,ok,PASS,9400000,12899867,85599867,2006PASS,10864486,14909619,98936014,2,2
2006,tt0439815,Slither,ok,ok,PASS,15250000,7802450,12930343,2006PASS,17625894,9018043,14944843,2,2
2001,tt0290879,The Legend of Suriyothai,ok,ok,PASS,9000000,454255,454255,2001PASS,11842614,597730,597730,3,2
1997,tt0119528,Liar Liar,notalk-disagree,notalk,FAIL,45000000,181410615,302710615,1997FAIL,65305716,263270001,439305185,4,3
2006,tt0783238,The Dead Girl,ok,ok,PASS,3300000,19875,19875,2006PASS,3814128,22971,22971,2,2
2002,tt0257756,High Crimes,ok,ok,PASS,42000000,41543207,63781100,2002PASS,54397527,53805898,82607955,3,2
2001,tt0212985,Hannibal,ok,ok,PASS,87000000,165092266,350100280,2001PASS,114478598,217235991,460678038,3,2
2007,tt0398808,Bridge to Terabithia,ok,ok,PASS,25000000,82234139,137984788,2007PASS,28088587,92393631,155031909,2,2
2007,tt0465494,Hitman,nowomen-disagree,nowomen,FAIL,17500000,39687694,99965792,2007FAIL,19662011,44590850,112315914,2,2
2012,tt1781769,Anna Karenina,men-disagree,men,FAIL,49000000,12816367,70735540,2012FAIL,49717290,13003980,71771007,1,1
2011,tt1436562,Rio,notalk,notalk,FAIL,90000000,143619809,487519809,2011FAIL,93212171,148745713,504919774,1,1
1992,tt0104257,A Few Good Men,notalk,notalk,FAIL,33000000,141340178,236500000,1992FAIL,54791459,234673774,392672121,5,3
2001,tt0211443,Jason X,ok,ok,PASS,14000000,13121555,16951798,2001PASS,18421843,17265945,22305955,3,2
2001,tt0264761,Kissing Jessica Stein,ok,ok,PASS,1500000,7025722,8831884,2001PASS,1973769,9244768,11621399,3,2
2009,tt0485601,The Secret of Kells,nowomen-disagree,nowomen,FAIL,8000000,690290,2600916,2009FAIL,8685853,749470,2823897,2,2
1992,tt0105236,Reservoir Dogs,nowomen,nowomen,FAIL,1200000,2832029,2832029,1992FAIL,1992417,4702152,4702152,5,3
2004,tt0372588,Team America: World Police,men,men,FAIL,20000000,32774834,50274834,2004FAIL,24663858,40417692,61998567,3,2
2010,tt1424381,Predators,nowomen,nowomen,FAIL,40000000,52000688,127234389,2010FAIL,42729274,55548791,135915826,1,1
2001,tt0256380,Shallow Hal,ok,ok,PASS,40000000,70836296,70836296,2001PASS,52633838,93209654,93209654,3,2
2012,tt1716777,People Like Us,ok,ok,PASS,16000000,12431792,12431792,2012PASS,16234217,12613776,12613776,1,1
2012,tt1560747,The Master,notalk-disagree,notalk,FAIL,37500000,16247159,25116740,2012FAIL,38048946,16484994,25484413,1,1
2001,tt0209475,The Wedding Planner,ok,ok,PASS,28000000,60400856,94728529,2001PASS,36843687,79478222,124648152,3,2
2011,tt1615147,Margin Call,notalk-disagree,notalk,FAIL,3400000,5353586,17872206,2011FAIL,3521349,5544660,18510079,1,1
2009,tt0473705,State of Play,ok,ok,PASS,60000000,37017955,91445389,2009PASS,65143896,40191563,99285148,2,2
2010,tt0892769,How to Train Your Dragon,ok,ok,PASS,165000000,217581231,494870991,2010PASS,176258254,232427199,528636950,1,1
2011,tt0780504,Drive,dubious-disagree,dubious,FAIL,15000000,35060689,78054825,2011FAIL,15535362,36312033,80840663,1,1
2008,tt0371746,Iron Man,men-disagree,men,FAIL,186000000,318604126,582443126,2008FAIL,201299674,344811326,630352749,2,2
1997,tt0118749,Boogie Nights,dubious-disagree,dubious,FAIL,15000000,26410771,43111725,1997FAIL,21768572,38328318,62565379,4,3
2013,tt1981115,Thor: The Dark World,dubious-disagree,dubious,FAIL,170000000,204674790,631674790,2013FAIL,170000000,204674790,631674790,1,1
2005,tt0362165,Son of the Mask,notalk,notalk,FAIL,100000000,17018422,59918422,2005FAIL,119303313,20303541,71484662,2,2
2009,tt0765010,Brothers,ok,ok,PASS,26000000,28544157,45043870,2009PASS,28229022,30991293,48905553,2,2
2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,75612460,132493015,2013FAIL,61000000,75612460,132493015,1,1
1994,tt0111143,The Shadow,nowomen,nowomen,FAIL,40000000,31835600,31835600,1994FAIL,62866588,50034889,50034889,5,3
2010,tt1130884,Shutter Island,notalk,notalk,FAIL,80000000,128012934,296831073,2010FAIL,85458547,136747492,317084404,1,1
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2,notalk-disagree,notalk,FAIL,125000000,381011219,1328111219,2011FAIL,129461348,394609809,1375512553,1,1
1994,tt0111301,Street Fighter,ok,ok,PASS,35000000,33423000,99423000,1994PASS,55008264,52529749,156259619,5,3
2013,tt0790628,The Incredible Burt Wonderstone,notalk,notalk,FAIL,32000000,22537881,24255957,2013FAIL,32000000,22537881,24255957,1,1
2007,tt0413267,Shrek the Third,ok-disagree,ok,PASS,160000000,322719944,807330936,2007PASS,179766957,362589890,907071412,2,2
2009,tt1186367,Ninja Assassin,notalk-disagree,notalk,FAIL,50000000,38122883,61622883,2009FAIL,54286580,41391219,66905911,2,2
2005,tt0419706,Doom,notalk,notalk,FAIL,70000000,28212337,54612337,2005FAIL,83512319,33658253,65154327,2,2
2008,tt0800039,Forgetting Sarah Marshall,ok,ok,PASS,30000000,63172463,105173042,2008PASS,32467689,68368797,113824188,2,2
2006,tt0439289,Running with Scissors,ok,ok,PASS,12000000,6860000,8706701,2006PASS,13869556,7928763,10063173,2,2
2004,tt0366551,Harold and Kumar Go to White Castle,ok-disagree,ok,PASS,9000000,18225165,18225165,2004PASS,11098736,22475144,22475144,3,2
1992,tt0104797,Malcolm X,dubious,dubious,FAIL,35000000,48169910,48169910,1992FAIL,58112153,79978777,79978777,5,3
1990,tt0099653,Ghost,men-disagree,men,FAIL,22000000,217631306,517600000,1990FAIL,39225459,388031265,922868068,5,3
2007,tt0465538,Michael Clayton,men-disagree,men,FAIL,21500000,49033882,92987651,2007FAIL,24156185,55091699,104475669,2,2
1990,tt0100802,Total Recall,notalk,notalk,FAIL,125000000,58877969,198615996,1990FAIL,222871925,104977970,354127435,5,3
2010,tt1564585,Skyline,dubious,dubious,FAIL,10000000,21416355,78693371,2010FAIL,10682318,22877632,84062765,1,1
2000,tt0219699,The Gift,dubious,dubious,FAIL,10000000,12008642,44567606,2000FAIL,13529084,16246592,60295888,3,2
2003,tt0283426,The Jungle Book 2,nowomen-disagree,nowomen,FAIL,20000000,47901582,135703599,2003FAIL,25321739,60647568,171812557,3,2
2012,tt0948470,The Amazing Spider-Man,men-disagree,men,FAIL,220000000,262030663,757890267,2012FAIL,223220484,265866416,768984693,1,1
2009,tt1191111,Enter the Void,notalk,notalk,FAIL,16000000,337997,337997,2009FAIL,17371706,366974,366974,2,2
2005,tt0342272,Dear Wendy,notalk,notalk,FAIL,8000000,23106,446438,2005FAIL,9544265,27566,532615,2,2
2006,tt0429591,Aquamarine,ok,ok,PASS,12000000,18597342,22978953,2006PASS,13869556,21494740,26558990,2,2
2009,tt1054606,The Imaginarium of Doctor Parnassus,notalk,notalk,FAIL,30000000,7689607,64352607,2009FAIL,32571948,8348849,69869659,2,2
2000,tt0212338,Meet the Parents,men,men,FAIL,55000000,166225040,304599899,2000FAIL,74409961,224887250,412095756,3,2
2009,tt1049413,Up,notalk,notalk,FAIL,175000000,293004164,731542621,2009FAIL,190003029,318123879,794258938,2,2
1994,tt0110367,Little Women,ok,ok,PASS,15000000,50003303,50003303,1994PASS,23574970,78588426,78588426,5,3
2012,tt1308729,Bullet to the Head,nowomen,nowomen,FAIL,55000000,9489829,13561515,2012FAIL,55805121,9628746,13760036,1,1
2003,tt0311113,Master and Commander: The Far Side of the World,nowomen,nowomen,FAIL,135000000,93926386,212912137,2003FAIL,170921739,118918972,269565280,3,2
2010,tt1518812,Meek's Cutoff,men,men,FAIL,2000000,977772,1869928,2010FAIL,2136464,1044487,1997517,1,1
2007,tt0480249,I Am Legend,ok-disagree,ok,PASS,150000000,256393010,585410052,2007PASS,168531522,288068696,657733649,2,2
1995,tt0113101,Four rooms,notalk,notalk,FAIL,4000000,4301000,4301000,1995FAIL,6115118,6575280,6575280,4,3
2011,tt1372686,Coriolanus,men,men,FAIL,10000000,749641,1049641,2011FAIL,10356908,776396,1087104,1,1
2009,tt0974661,17 Again,ok-disagree,ok,PASS,40000000,64167069,139474906,2009PASS,43429264,69668214,151432312,2,2
2004,tt0304141,Harry Potter and the Prisoner of  Azkaban,ok,ok,PASS,130000000,249538952,796688549,2004PASS,160315074,307729658,982470644,3,2
2000,tt0202677,The Way of the Gun,men,men,FAIL,9000000,6047856,13061935,2000FAIL,12176175,8182195,17671601,3,2
2013,tt1837703,The Fifth Estate,notalk,notalk,FAIL,26000000,3254172,6154172,2013FAIL,26000000,3254172,6154172,1,1
1996,tt0116996,Mars Attacks!,ok,ok,PASS,80000000,37771017,101371017,1996PASS,118813194,56096190,150552679,4,3
2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,92000000,67349198,304249198,2013FAIL,92000000,67349198,304249198,1,1
2000,tt0213203,Rugrats in Paris:,ok,ok,PASS,30000000,76501438,103284813,2000PASS,40587251,103499437,139734889,3,2
2008,tt0489018,Day of the Dead,ok,ok,PASS,18000000,NA,NA,2008PASS,19480614,NA,NA,2,2
2008,tt0482606,The Strangers,dubious-disagree,dubious,FAIL,9000000,52597610,83051676,2008FAIL,9740307,56924095,89883201,2,2
2007,tt0848557,Diary of the Dead,ok,ok,PASS,2750000,952620,5394447,2007PASS,3089745,1070310,6060896,2,2
1995,tt0112579,The Bridges of Madison County,ok,ok,PASS,22000000,71516617,175516617,1995PASS,33633148,109333135,268326198,4,3
2008,tt0981227,Nick and Norah's Infinite Playlist,ok,ok,PASS,10000000,31487293,33544594,2008PASS,10822563,34077322,36303849,2,2
2013,tt1288558,Evil Dead,ok-disagree,ok,PASS,17000000,54239856,97402049,2013PASS,17000000,54239856,97402049,1,1
2008,tt1033643,What Happens In Vegas,ok,ok,PASS,35000000,80277646,218535708,2008PASS,37878971,86880989,236511649,2,2
1993,tt0106611,Cool Runnings,notalk-disagree,notalk,FAIL,14000000,68856263,155056263,1993FAIL,22574425,111027894,250021852,5,3
2008,tt1104733,Hamlet 2,ok,ok,PASS,9000000,4886216,4898285,2008PASS,9740307,5288138,5301200,2,2
2010,tt0935075,Rabbit Hole,ok,ok,PASS,5000000,2229058,5839592,2010PASS,5341159,2381151,6238038,1,1
2011,tt1509767,The Three Musketeers,men,men,FAIL,90000000,20377913,139877913,2011FAIL,93212171,21105217,144870266,1,1
2006,tt0458352,The Devil Wears Prada,ok,ok,PASS,35000000,124740460,326551094,2006PASS,40452872,144174568,377426561,2,2
1999,tt0129167,The Iron Giant,nowomen-disagree,nowomen,FAIL,50000000,23159305,31333917,1999FAIL,69923101,32387409,43819293,4,3
2012,tt1024648,Argo,ok-disagree,ok,PASS,44500000,136025503,221300694,2012PASS,45151416,138016721,224540219,1,1
2003,tt0325703,Lara Croft Tomb Raider: The Cradle of Life,nowomen-disagree,nowomen,FAIL,90000000,65653758,156453758,2003FAIL,113947826,83123367,198084062,3,2
2000,tt0210299,Songcatcher,ok,ok,PASS,1800000,3050934,3050934,2000PASS,2435235,4127634,4127634,3,2
2012,tt1667353,Mirror Mirror,dubious,dubious,FAIL,85000000,64935167,168611991,2012FAIL,86244278,65885725,171080229,1,1
2011,tt1449283,Winnie the Pooh,nowomen,nowomen,FAIL,30000000,26692846,50145607,2011FAIL,31070724,27645535,51935343,1,1
2001,tt0286112,Shaolin Soccer,nowomen,nowomen,FAIL,10000000,488872,42776032,2001FAIL,13158460,643280,56286669,3,2
2007,tt0450385,1408,ok,ok,PASS,22500000,71985628,131263370,2007PASS,25279728,80878983,147480104,2,2
2011,tt1217613,Battle: Los Angeles,notalk-disagree,notalk,FAIL,70000000,83552429,212005201,2011FAIL,72498355,86534481,219571833,1,1
1997,tt0118883,Conspiracy Theory,men,men,FAIL,80000000,76118990,142783718,1997FAIL,116099050,110466780,207213175,4,3
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,notalk,notalk,FAIL,18000000,52698535,73695194,2011FAIL,18642434,54579387,76325433,1,1
2002,tt0120679,Frida,men-disagree,men,FAIL,12000000,25885000,55710675,2002FAIL,15542151,33525714,72155308,3,2
